original_shape2D_Elongation,original_shape2D_MajorAxisLength,original_shape2D_MaximumDiameter,original_shape2D_MeshSurface,original_shape2D_MinorAxisLength,original_shape2D_Perimeter,original_shape2D_PerimeterSurfaceRatio,original_shape2D_PixelSurface,original_shape2D_Sphericity,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,Target,Image
0.390945487,555.9918044,428.1413318,21494.5,217.3624869,1212.454978,0.056407685,21497,0.428650155,15,244,666536489,3.095950908,172,1.60817457,255,81.24401534,151.9737173,196,0,255,70.488533,176.0852736,-0.496305471,666536489,0.142408814,7910.012846,52.18593836,3035.429239,-128.3604439,41.63626925,9.051982101,0.642913126,1.370579057,1.82962669,7.144002622,0.713031916,0.695802648,0.953745947,0.917964225,-0.387779824,0.950263023,0.320424629,6.63625145,0.058526493,4.955892431,0.861006929,0.159508357,13.2725029,4.0028701,12.67206284,6.057727529,2595.87668,0.1207553,4.990810569,3061.362283,12.5293542,56.22872959,31.64353166,1906.051589,5.459127448,0.184002348,0.108815504,6.002664691,0.018494414,1222.675297,0.118436629,12.80122351,53.42007036,8.154560699,501.3188586,1.330896054,0.190509659,5.227072377,3755.679953,0.360697308,0.479671582,3.686442647,0.617793499,32.2960867,0.11693951,256.2024117,0.110336956,13.44821024,53.85443583,2916.036606,237573.9694,272.794527,0.166867755,572.6218777,0.246607182,0.50906268,29.61213084,0.074342395,6.193990567,0.108015072,2830.326648,45.65987312,0.00027159,71.98487531,0.276017704,0.019344151,CML,/home/salma.hassan/AI702/MaskAttention/data/images/train/CML/44213520514A_69.png
0.896131039,465.1884776,478.0794913,19338,416.8698337,1534.496608,0.07935136,19342,0.321251214,9,246,311290985,3.021010842,94,2.556310212,255,61.19405374,100.4011478,91,0,255,46.07505352,126.8623004,0.727754968,311290985,0.134126141,6013.652802,26.32535062,2801.399525,129.7682821,30.74421313,8.219759524,0.578323015,1.220243268,1.652219807,6.695783748,0.736175868,0.721553079,0.959517717,0.926957143,-0.441792392,0.962076067,0.313769529,4.549091614,0.056558286,4.67851147,0.926229335,0.135791731,9.098183228,3.804830801,9.740993165,5.97247466,2401.704891,0.124170452,4.833546372,2594.267811,9.57283963,30.42611933,33.51266674,991.5296247,10.15697086,0.262151629,0.086400833,2.854805468,0.016801484,1105.494265,0.125412608,9.617574482,31.2538038,9.120650393,264.502903,2.849466837,0.227459293,5.159920565,2985.442406,0.333679134,0.455588874,4.090977299,0.589750428,18.61873273,0.12257259,229.0076094,0.145217254,11.06679604,35.58719087,2370.85986,41417.19975,1110.790453,0.153379805,257.1128725,0.163039234,0.400737385,14.5515416,0.056043549,6.390866512,0.081532417,2220.428158,80.65796329,0.000360276,56.02285269,0.225901086,0.021085409,CML,/home/salma.hassan/AI702/MaskAttention/data/images/train/CML/44213412730A_12.png
0.143699934,520.7858649,383.2310008,10253.5,74.83689435,678.2152955,0.06614476,10255,0.529265298,19,238,195051564,3.269522328,132,1.951372074,255,65.02804378,113.9280351,100,0,255,50.95490727,137.9135336,0.449871416,195051564,0.112720793,6040.545577,32.2800755,2253.34148,89.93014988,32.37986683,6.536758937,0.664159046,1.04131629,1.559918888,5.421725319,0.758814407,0.747260635,0.966786889,0.936055646,-0.490090447,0.977669195,0.309580301,5.081268185,0.049903489,4.921605572,0.915765447,0.110496933,10.16253637,4.108299193,9.729156443,6.220245263,1287.355729,0.125534445,4.854345977,1155.951731,9.633147294,35.54129693,36.24602633,1215.281911,6.261851954,0.184738249,0.080438414,3.395386093,0.014964384,452.3360968,0.103833977,10.67354995,37.96062077,10.88880009,372.6278901,1.777565385,0.193775331,5.568974946,1343.182354,0.301677689,0.424646514,4.912291937,0.55589985,22.68910607,0.10750266,85.16076294,0.116022838,13.36597643,46.64032698,3013.366485,95165.04087,467.1859764,0.171255551,144.4223433,0.196760686,0.447853396,21.53667659,0.079728591,6.249392641,0.071574842,2818.166756,25.75465736,0.001023674,48.04776143,0.161626681,0.047567616,CML,/home/salma.hassan/AI702/MaskAttention/data/images/train/CML/44220831892A_75.png
0.792996004,515.6906275,462.2769733,30589.5,408.9406072,1477.42554,0.048298453,30591,0.419648349,10,241,585526104,3.218430997,171,1.704824247,255,75.05729917,108.4263999,88,0,255,62.94293373,138.3490858,0.430583784,585526104,0.122649426,7384.18535,30.68064865,2718.758049,96.20873172,37.4890084,9.888183001,0.58261157,1.447298881,1.80948678,7.756739128,0.704619614,0.688241563,0.950159635,0.914478845,-0.418958674,0.963683142,0.335278469,4.876519154,0.045209884,5.078899366,0.885129406,0.128770631,9.753038308,4.135719933,11.84429785,6.147475851,3881.763427,0.126892335,4.521402269,3751.968586,11.77246116,35.55781112,30.14040077,976.186885,9.276956652,0.278018995,0.100539159,4.624253349,0.021122661,1782.846438,0.118327099,12.63625475,38.28373184,7.487978356,239.8296548,2.351818223,0.253819509,5.188757466,5494.992012,0.36014322,0.49230983,3.211253381,0.614162507,24.91392408,0.145554969,403.0398804,0.133944792,14.60751434,49.10800931,2750.020273,36820.29212,1885.406675,0.173015423,609.0604852,0.202412923,0.454709748,25.72798215,0.07148997,6.315301473,0.098362263,2646.66254,154.8260556,0.000181457,76.50411706,0.276346755,0.012830391,CML,/home/salma.hassan/AI702/MaskAttention/data/images/train/CML/44213520514A_15.png
0.473721223,588.1596519,470.4572244,32923,278.6237095,1672.971788,0.050814682,32926,0.38447315,18,243,858011740,3.131275345,173,1.37073326,255,82.50438503,134.9032376,116,0,255,73.54171022,161.427354,-0.010548638,858011740,0.13113678,7859.907116,43.94728369,2693.908643,11.61381267,42.70423089,7.884557399,0.688365358,1.21728103,1.697806721,6.378298632,0.733556823,0.719372355,0.959829218,0.926382988,-0.433559786,0.96399193,0.32027774,5.93652738,0.055483475,4.867538361,0.916346062,0.149738699,11.87305476,4.017154323,12.64719707,6.103158927,3987.371257,0.121100992,5.02090738,4317.809634,12.50266735,47.66029885,33.78849541,1714.708771,5.23803762,0.180190229,0.098270704,4.520676239,0.019296336,1736.440009,0.115958386,12.86603868,45.18656993,9.202865663,474.932817,1.348952777,0.200173574,5.322243838,5100.824583,0.337106935,0.454557189,4.215058798,0.594658615,26.15325913,0.124168624,377.3471235,0.121960932,13.79920109,45.22656755,3892.913381,265368.8103,359.0895855,0.202572715,756.6651584,0.244558875,0.506833806,24.20113078,0.095870138,6.184457818,0.093968293,3779.663611,67.55478493,0.000218028,62.56763821,0.245509428,0.013924697,CML,/home/salma.hassan/AI702/MaskAttention/data/images/train/CML/44213520514A_102.png
0.728651639,554.2324771,530.9698673,51481,403.8424026,3098.667314,0.060190504,51487,0.259569385,22,124,384628208,2.691460675,62,5.895704493,255,37.84634829,70.59277099,58,0,255,25.66466084,86.43144465,1.5263312,384628208,0.185483162,2487.055308,14.04490146,1142.58029,75.25011858,13.97320517,1.952950009,0.754599169,0.503203794,1.148350369,1.694369793,0.822583334,0.818336617,0.989464854,0.964056847,-0.503400719,0.96404357,0.300762038,3.322616263,0.099426452,3.993853132,0.923350826,0.227167772,6.645232526,3.474882292,3.981538796,5.568848592,7135.105891,0.138580727,4.496261894,9549.971546,4.050548325,15.29733719,43.12135102,574.0264144,10.85176502,0.23827239,0.054615758,1.170192488,0.011869182,2956.407314,0.164908049,4.931792576,18.0996324,17.05172282,219.9721141,4.269723578,0.220367316,5.436244094,4352.208244,0.237892479,0.348136423,8.302554984,0.478396408,9.873999173,0.096949929,343.1950339,0.154941325,7.749208404,25.93182844,12660.46546,116466.0018,2935.696974,0.208721313,295.7142212,0.133505292,0.355737008,10.59890782,0.079638591,6.79310825,0.043020568,12120.14961,95.3333388,0.000322648,26.50857838,0.031907821,0.020763988,CML,/home/salma.hassan/AI702/MaskAttention/data/images/train/CML/44202461838A_79.png
0.63817805,522.6273586,417.9246344,17694.5,333.5293087,1325.442784,0.074907049,17698,0.355764897,12,239,323776250,3.201627844,154.75,1.926757356,255,67.48760662,108.3717934,95,0,255,53.51497594,135.2572019,0.47099262,323776250,0.121641641,6550.065069,30.15271393,2482.826118,92.88926961,33.71799694,8.07679771,0.613503771,1.268626526,1.75984627,6.438766592,0.716439781,0.701315766,0.958741427,0.922714382,-0.423603953,0.964231393,0.344735219,4.872617326,0.047258403,5.038139785,0.914381165,0.118307634,9.745234652,4.073712152,10.44869866,6.171565095,2204.423325,0.124557765,4.668971306,2152.813764,10.46012007,34.20550345,30.53520172,926.6993446,8.844134745,0.24960572,0.105945804,4.699601278,0.020263822,960.7257015,0.110913767,11.1729145,37.61473334,7.654246018,238.3117073,2.278699435,0.219729083,5.24939874,3153.954931,0.359233053,0.489264324,3.317937141,0.613253579,25.00014624,0.123566531,204.6491608,0.110800845,13.274644,48.45425014,3178.722252,65168.4445,1032.071945,0.166175334,430.4066053,0.233030106,0.49305994,25.09175578,0.079778544,6.261746399,0.104362075,3086.907051,67.17945888,0.000397305,64.20423588,0.216887839,0.023686747,CML,/home/salma.hassan/AI702/MaskAttention/data/images/train/CML/Image_246.png
0.21296346,360.9564323,232.0193957,6326,76.87053073,436.2325394,0.068958669,6327,0.646325764,56,237,195618191,2.647023887,131,1.63643805,255,72.4574299,158.2818081,208,0,255,62.88265292,175.8351523,-0.389775894,195618191,0.188526402,5864.870007,54.96679855,1710.43305,-61.27027453,32.67435063,4.831752881,0.742432247,0.818635093,1.394460108,4.143544497,0.805264817,0.796029259,0.974369862,0.948879158,-0.494623902,0.960343112,0.251708814,6.928633173,0.109215296,3.957459913,0.952345879,0.197149861,13.85726635,3.453268095,9.376525878,5.371073457,881.2446657,0.139283178,5.26571167,1192.806543,9.38888373,56.49138612,43.838312,2657.768137,2.441803478,0.090644877,0.070978886,3.319016037,0.014142326,324.042632,0.146472014,11.71028114,50.23010703,17.92724273,1086.907145,0.987257516,0.145553104,5.322017156,573.4693862,0.255626378,0.348664454,9.140657672,0.511076497,22.45676637,0.104731157,59.49876543,0.146910532,14.78936747,39.22469136,5664.31358,448476.5901,119.030815,0.276508824,94.21481481,0.232629172,0.489474889,22.49837275,0.119658489,5.503091488,0.06401138,5420.259753,7.307233391,0.001537684,38.14828676,0.153771165,0.090955218,CML,/home/salma.hassan/AI702/MaskAttention/data/images/train/CML/44220831892A_4.png
0.806155364,441.2601259,487.4679477,23453.5,355.7242172,1438.881384,0.061350391,23456,0.377297362,11,241,428611641,3.080759144,177,1.836877082,255,74.21685106,104.0958817,78,0,255,61.14454248,135.177685,0.592279948,428611641,0.13385289,7437.053946,29.85357035,3234.846941,154.6298677,39.67048516,8.368932697,0.651672983,1.248473886,1.666630881,6.780580971,0.732155545,0.718252482,0.958198428,0.925342572,-0.437138238,0.963074039,0.322475244,4.693418166,0.054506956,4.781330074,0.916229974,0.127460925,9.386836331,3.9599159,12.00985446,6.043461778,2894.380286,0.123396158,4.819941751,3139.653394,11.88303776,34.0315058,33.22407913,1103.766073,9.979550144,0.276287958,0.091301059,3.823554432,0.018852626,1338.898922,0.1243694,12.02638651,35.18280066,8.823950042,294.3008997,2.64811945,0.252903524,5.23394469,3637.321213,0.33406903,0.458805849,3.900893348,0.591052342,21.57297069,0.1374611,275.3274682,0.134568655,13.61361248,45.84115347,2953.363636,74055.43548,1099.589026,0.165956068,394.2072336,0.192672157,0.443851499,23.23718253,0.064113944,6.37025988,0.087227149,2821.932989,86.2494687,0.000270216,68.42209544,0.239273605,0.019950654,CML,/home/salma.hassan/AI702/MaskAttention/data/images/train/CML/44213520514A_12.png
0.816011596,528.5470558,446.2790607,16148.5,431.3005268,1115.175757,0.069057544,16151,0.403950087,11,248,404985768,3.050477803,196,1.32441389,255,88.62915544,126.7527707,93,0,255,80.66390007,158.3507673,0.146877684,404985768,0.143194692,9008.700626,41.41890336,3454.129429,61.24925458,48.41928664,9.67344712,0.667090335,1.358016646,1.66592482,7.796751302,0.729110254,0.715361247,0.952446869,0.92090736,-0.438860119,0.962308697,0.314508231,5.633154147,0.063364044,4.718638466,0.911429062,0.171336519,11.26630829,3.951613969,14.52318344,5.972557139,1987.574577,0.123062013,4.907664107,2312.737478,14.30579729,45.85567457,33.31403628,1572.063959,8.225842041,0.237961359,0.089000561,4.601284335,0.016842624,895.1914712,0.120795593,14.00939306,45.31943017,8.969263043,433.6643028,2.133450335,0.227196326,5.252805686,2566.033937,0.341400157,0.458779642,4.034110242,0.597961164,27.40089957,0.127628809,181.1415663,0.136401782,14.53335027,54.1626506,2751.556476,147828.052,817.4158761,0.163661494,239.5512048,0.180384943,0.428024696,27.21103804,0.057489551,6.441656599,0.082224011,2603.644723,45.26647263,0.000337324,78.64083089,0.315535293,0.027456723,CML,/home/salma.hassan/AI702/MaskAttention/data/images/train/CML/44213412730A_69.png
